1,上一任很驕傲7：30開會
1,這一任要吹噓半夜看路？
1,很會
1,盧秀燕出來發錢啊！
1,把4291還給台中市民
1,連車輪立委都比邱顯專業 #可憐
1,KMT開始拖垮台灣的國防了
1,漲知識了！！
1,連這都不敢回答
1,還號稱什麼漢子
1,#撿角
1,哈！
1,亂告的後果
1,這立委真好當阿
1,111個提案都一樣
1,還可以罵髒話
1,沒事 沒看到國外物價飆到哪
1,就出國一趟吧
1,你那個時空還在2021年嗎？
1,大家可以在群組裡廣傳：
1,要不
1,抓國民黨去前線
1,最環保？
1,個人繳更少的稅，政府做更多事，那超徵來自那？
1,國民黨 的退將黨員 涉嫌當共碟
1,現在罵很爽
1,把...握...當...下...好...好...做...事
1,南屋阿蜜托佛~~咚 (敲木魚)
1,來！
1,下注了
1,來賭
1,到底要多北七
1,才會把戰時佈雷跟環保扯在一起.....
1,超徵不是納稅人多繳稅了
1,而是政府依照稅收編列預算支出
1,結果經濟好稅收遠大於支出
1,好好做事好好做事你們懂不懂？？？
1,這就是把握當下好好做事！瞭蓋沒？
1,很明顯看的出來誰有問題吧？
1,不知道現在出國回台灣的國人
1,是怎麼感受其他國家的？
1,這次去菲律賓，物價漲不少
1,堵藍2023年1月初開春高雄線下聚會
1,特別邀請鄉民女神aka網路貂蟬四叉貓來座談
1,劉宇 
1,歡迎堵藍粉絲來參加…… 顯示更多
1,難怪苗栗財政那～～麼～～慘～～
1,全民共享！每人六千！衝衝衝！
1,有種別領
1,檢調搜索的時候翻牆撈跑
1,#國民黨中常委 笑！
1,好多人都想烙跑唷
1,善蹭～醒醒哦
1,現在是你當市長了
1,全民共享~衝衝衝！
1,好好做事好好做事好好做事
1,原來如此！！！
1,喔喔地點在顏市 沒事兒
1,妳背後那個看起來很火大
1,今天到3C賣場買網路HUB
1,沒想到居然看到產業轉移的現在進行式
1,台商迴流中
1,當年台灣外移中國的電子資通訊產業
1,都默默的回故鄉台灣製造了…… 顯示更多
1,鎖國+1
1,藍營將出動18位議員
1,2022尾巴必勝跟衝衝衝持續
1,在替台灣而奮鬥
1,2019/12/31 因應中國武漢新冠肺炎且資訊不明，疾管署緊急啟動登機檢疫，嚴防病毒入侵。
1,momo購物網
1,確定你不是1450反串？
1,林北實在是搞不懂
1,總統府有發言人
1,行政院有發言人
